vehicle_id,name,agency,sub_agency,contract_number,ceiling_usd,pop_start,pop_end,pop_years,naics_primary,naics_secondary,psc,set_aside,vehicle_type,award_type,primes_count,status,obligated_estimate_usd,burn_status,incumbent_vulnerability_score,forecast_event,forecast_window,forecast_confidence_pct,primary_source_url,mmt_note
vha-iht,VHA Integrated Healthcare Transformation IDIQ,VA,VHA,,,,,,541611,,,Multiple Award,Multiple Award IDIQ,,,Active,,,3,Absorbed into T4NG2 clinical tracks,2027-01-01 to 2027-12-31,60,https://insights.govforum.io/2022/12/va-awards-ehrm-support-contract/,VHA clinical + IT transformation
cms-sparc,CMS SPARC,HHS,CMS,HHSM-500-2016-00051I,25000000000,2016-06-08,2026-06-07,10,541512,,,Multi-tier (LB/SB/WOSB),Multiple Award IDIQ,Multiple,Multiple,Active nearing recompete,21000000000,Saturating,1,SPARC recompete,2026-06-08 to 2027-06-30,80,https://www.cms.gov/data-research/cms-information-technology/sparc,Active nearing recompete; POP Jun 8 2016 to Jun 7 2026; available to CMS and HHS OPDIVs
nitaac-cio-sp4,NITAAC CIO-SP4,HHS,NIH NITAAC (Govtwide),75N98121R00001,50000000000,,,,541512,,,Multi-tier GWAC,GWAC,Multiple,N/A,Canceled,0,Canceled,3,CIO-SP3 bridge through Apr 29 2027,2026-05-01 to 2027-04-29,85,https://sam.gov/opp/40c9559870aa4e23b5e10e65e2f7cdc8/view,Canceled — SAM Amendment 0017 canceled RFP 75N98121R00001; CIO-SP3 bridges through Apr 29 2027
nitaac-ecs-iii,NITAAC ECS III,HHS,NIH NITAAC,HHSN263999900483I,,,,,,,,Multiple Award,GWAC Commodities,,Multiple,Tapering,,Saturating,4,ECS IV solicitation,2026-07-01 to 2026-09-30,65,https://redriver.com/contracts/ecs-iii,COTS hardware/software/telecom
nih-arpah-stats,NIH/ARPA-H STATS IDIQ,HHS,NIH (supports ARPA-H),75N99224D00003,,2024-11-01,2028-11-01,4,541611,,,Multiple Award,Multiple Award IDIQ,FFP,Multiple,Active,89000000,Healthy,2,Additional ARPA-H TOs,2026-07-01 to 2027-06-30,70,https://orangeslices.ai/ecs-beats-out-3-to-win-88-5m-nih-arpa-h-stats-idiq-professional-support-services/,ECS Federal holds $88.5M TO
cdc-itopss-4,CDC ITOPSS 4.0,HHS,CDC / Center for Global Health,75D301-23-R-72854,45000000,,,5,541611,,,Multiple Award,Multiple Award IDIQ,FFP,9,Active,,Healthy,3,ITOPSS 5.0 market research,2027-04-01 to 2027-06-30,60,https://orangeslices.ai/cdc-awards-45m-international-technical-operational-and-professional-support-services-itopss-4-0-idiq/,Global health ops/tech/pro services
cdc-tass,CDC OCIO TASS,HHS,CDC OCIO,,75000000,,,3,541512,,,TBD,Multiple Award IDIQ,TBD,TBD (incumbent Booz Allen),In Market Research,,,4,Draft RFP,2026-07-01 to 2026-09-30,65,https://orangeslices.ai/research-request-75m-cdc-ocio-technical-applications-support-services-rfp/,80+ IT/informatics projects
ihs-path-ehr,IHS PATH EHR IDIQ,HHS,Indian Health Service,,2500000000,2023-10-01,2033-10-01,10,541512,,,Single Award,Single Award IDIQ,CPFF/FFP,GDIT,Active Pilot Year,,Underburning,1,First post-pilot operational TO ($80-140M),2026-07-01 to 2026-09-30,70,https://www.gdit.com/about-gdit/press-releases/gdit-awarded-usd2-5-billion-idiq-contract-for-electronic-health-record/,Oracle Health FedRAMP High
fda-ead-bpa,FDA Enterprise IT App Dev BPA (CANCELLED),HHS,FDA CIO,FDA-RFI-75F40124Q00156,,,,,541512,,,TBD,BPA,,,Cancelled,0,,4,Replacement strategy,2026-07-01 to 2026-12-31,55,https://orangeslices.ai/fda-rfi-enterprise-it-application-development-ead-bpa-to-centralize-streamline-and-rationalize-acquisition,RFI cancelled 2025-05-13
dla-mspv-gen-vi,DLA MedSurg Prime Vendor Gen VI,DoD,DLA Troop Support Medical,SPE2DV25R0001,5000000000,,,,,339113,424210,,Unrestricted + regional,Multiple Award IDIQ,Commercial distribution,TBD,In Evaluation,,New,2,Award decisions,2026-06-01 to 2026-09-30,70,https://www.highergov.com/contract-opportunity/dla-medsurg-prime-vendor-gen-vi-spe2dv25r0001-o-daa0a/,3 Global Regions primary + backup PVs
va-mspv-gen-z,VA MSPV Gen-Z V1,VA,VA SAC,,,,,,339113,,,Multiple Award,Multiple Award IDIQ,,,Active,,Healthy,3,Gen-Z V2 solicitation,2027-04-01 to 2027-06-30,60,https://department.va.gov/procurement-acquisition-and-logistics/strategic-acquisition-center/sac-medical-surgical-prime-vendor-program-mspv-updated,Medical/surgical prime vendor for VAMCs
usace-medcom-dbmatoc,USACE MEDCOM Nationwide Design-Build MATOC,DoD,USACE,,230000000,2021-03-01,2025-03-01,4,236220,,,Multiple Award,Multiple Award Task Order Contract,Design-Build,Multiple,Active/Recompete Watch,,Saturating,3,Successor MATOC,2026-10-01 to 2027-06-30,60,https://www.doyongovgrp.com/2021/03/10/usace-medcom-design-build-nationwide-matoc-230m/,Clinical facility build-out feeds EHRM readiness
usace-huntsville-medae,USACE Huntsville Medical Facilities A&E MATOC,DoD,USACE Huntsville,,,2019-12-01,2024-12-01,5,541330,,,Multiple Award (3 SB + 3 unrestricted),Multiple Award Task Order Contract,A&E,6,Recompete Watch,,Saturating,3,Successor MATOC,2026-07-01 to 2027-03-31,65,https://www.hnc.usace.army.mil/Media/News-Releases/Article/2053676/huntsville-center-awards-medical-facilities-architecture,Medical MILCON A&E design
usace-mobile-dha-west,USACE Mobile DHA Western Region IDIQ MATOC,DoD,USACE Mobile / DHA,W9127826RA017,,2026-07-01,,,236220,,,Multi-pool (8(a)/SDVOSB carveouts),Multiple Award Task Order Contract,Design-Build,TBD,Active Solicitation,,New,3,Pool awards,2026-07-01 to 2026-09-30,70,https://www.highergov.com/contract-opportunity/design-build-idiq-matoc-in-support-of-the-dha-prog-w9127826ra017-o-7ec48/,MTF renovations + new build in occupied facilities
gsa-alliant-2,GSA Alliant 2,GSA,GSA,,50000000000,2018-07-01,2028-07-01,10,541512,,,Multiple Award,GWAC,Multiple,Multiple,Active,,,2,Alliant 3 takeover,2026-10-01 to 2027-12-31,85,https://gsa.gov/alliant,Heavy HHS use via IDV 47QRAD20D8152
gsa-alliant-3,GSA Alliant 3,GSA,GSA,,,2026-03-10,2031-03-09,5,541512,,,Multiple Award,GWAC,Multiple,42 Phase 1 contractors,Active,,New,3,Initial task orders,2026-03-10 to 2026-12-31,80,https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/gwacs/alliant-3,Active; no ceiling; Notice to Proceed Mar 10 2026; ordering through Mar 9 2031 + 5-year option to Mar 9 2036; 42 Phase 1 contractors
gsa-oasis-plus,GSA OASIS+,GSA,GSA,,,2024-01-01,2034-01-01,10,541611,,,Multi-tier (LB/SB/WOSB/SDVOSB/8a) — six IDIQ contracts by business type,Multiple Award IDIQ,Multiple,Multiple,Active / on-ramping,,,3,Ongoing pool adds,2026-07-01 to 2027-12-31,80,https://www.gsa.gov/buy-through-us/products-and-services/professional-services/buy-services/oasis-plus,Active / on-ramping; no ceiling; six IDIQ contracts by business type; non-IT professional services relevant to health program support
gsa-stars-iii,GSA 8(a) STARS III,GSA,GSA,,50000000000,2021-07-02,2026-07-01,5,541512,541511 / 541513 / 541519 / 518210,,8(a) Total Set-Aside,GWAC,Multiple,Multiple,Active,,Healthy,3,GSA option through Jul 1 2029,2026-07-01 to 2029-07-01,75,https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/gwacs/8a-stars-iii,Ordering Jul 2 2021 to Jul 1 2026; GSA intends option through Jul 1 2029; heavy HHS use for sub-$10M TOs
gsa-vets-2,GSA VETS 2,GSA,GSA,,5000000000,2018-02-01,2028-02-01,10,541512,,,SDVOSB Total Set-Aside,GWAC,Multiple,Multiple,Active,,Healthy,3,VETS 3 planning,2026-10-01 to 2027-06-30,55,https://gsa.gov/vets2,Non-VA SDVOSB IT
army-ites-3h,Army ITES-3H,DoD,Army CHESS,,5000000000,,2026-02-19,,334111,,,Multiple Award,Multiple Award IDIQ,Multiple,16 vendors (2023 extension),Legacy / Expired or Expiring,,,4,Transition to ITES-4H,2025-09-01 to 2026-02-19,90,,Legacy / Expired or Expiring; original ceiling $5B; 2023 extension added $2.5B through Feb 19 2026 for 16 vendors
army-ites-4h,Army ITES-4H,DoD,Army CHESS,,10000000000,2025-09-01,2035-09-01,10,334111,,,Multiple Award,Multiple Award IDIQ,Multiple,49 vendors,Active,,New,3,Initial task orders,2025-10-01 to 2026-09-30,85,,Active; $10B ceiling; awarded Sep 2025; 49 vendors; 5-year base + 5-year option through 2035; follow-on to ITES-3H
gsa-polaris,GSA Polaris,GSA,GSA,,,,,10,541512,541511 / 541513 / 541519 / 518210,,Small Business GWAC (SB / WOSB / SDVOSB / HUBZone pools),GWAC,Multiple,Multiple,Active,,,3,Pool awards / on-ramps,2026-04-01 to 2027-12-31,70,https://www.gsa.gov/technology/it-contract-vehicles-and-purchasing-programs/gwacs/polarisr,Active; Small Business GWAC; no ceiling; pools SB / WOSB / SDVOSB / HUBZone; primary NAICS 541512; in-scope 541511 / 541513 / 541519 / 518210; 5-year base + 5-year option
dha-dhmsm-mhs-genesis,DHA DHMSM / MHS GENESIS,DoD,DHA / PEO DHMS,,5500000000,,,,541512,,,Single Award,Single Award IDIQ,Multiple,Leidos Partnership for Defense Health (prime),Sustainment / Optimization,,,1,Optimization / sustainment task orders,2026-04-01 to 2027-12-31,80,https://health.mil/News/Dvids-Articles/2024/10/18/news483461,DoD MHS GENESIS — prime is Leidos Partnership for Defense Health (NOT Oracle); originally $4.3B then >$5.5B; deployment completed Mar 2024; now sustainment/optimization
